user ID,bundle ID,timestamp
761,1384,1389398400
840,506,1390608000
420,776,1391817600
502,70,1402358400
126,574,1375488000
524,1422,1395878400
743,379,1393718400
182,856,1392768000
233,1504,1379376000
843,1269,1390003200
589,796,1382918400
326,534,1386806400
578,88,1385078400
458,541,1382313600
802,1489,1373155200
454,607,1384992000
666,876,1389830400
739,1330,1395619200
880,78,1376524800
330,153,1384560000
22,277,1388361600
245,1466,1406073600
782,1001,1383609600
235,182,1377388800
282,15,1397606400
303,668,1392163200
160,1575,1398384000
533,1516,1394323200
676,496,1388620800
880,79,1376524800
576,1031,1385337600
863,839,1383264000
80,121,1392336000
576,1028,1385337600
606,470,1375315200
619,92,1404777600
746,923,1393459200
424,1693,1391212800
816,1223,1399420800
571,34,1385942400
122,1042,1376524800
621,887,1404691200
793,1441,1376524800
886,993,1373155200
469,218,1379808000
365,931,1373673600
427,1055,1390521600
670,742,1389225600
886,994,1373155200
694,1511,1381968000
311,1147,1389571200
354,651,1376697600
640,593,1396656000
632,1357,1398816000
476,1506,1376956800
325,792,1386979200
391,1681,1398556800
705,1053,1376956800
815,1471,1399680000
644,578,1396224000
469,219,1379808000
95,1365,1388102400
445,1297,1387324800
612,858,1374364800
493,98,1404691200
97,207,1385856000
403,1069,1395705600
849,1387,1387411200
391,1683,1398556800
252,418,1404691200
188,532,1391212800
402,570,1396224000
544,1408,1391990400
489,1313,1405209600
512,1081,1399248000
45,217,1405123200
810,1295,1402185600
568,682,1386892800
516,175,1398816000
462,1358,1381881600
672,631,1389052800
887,1541,1372982400
4,1238,1399248000
574,867,1385596800
795,892,1376179200
184,1375,1392595200
744,289,1393632000
829,1477,1393718400
289,712,1394668800
573,600,1385683200
611,1066,1374451200
497,1086,1404259200
815,1473,1399680000
213,1718,1385424000
737,1443,1396742400
218,1469,1383696000
119,69,1377648000
643,1346,1396396800
670,743,1389225600
361,1404,1374192000
48,1605,1404259200
735,659,1396915200
438,1083,1388707200
495,27,1404345600
629,374,1399420800
649,1263,1395100800
301,270,1392249600
560,172,1388361600
401,1673,1396396800
267,1423,1401235200
324,500,1386979200
224,1243,1380672000
19,391,1388707200
418,1644,1392076800
35,552,1379548800
527,133,1395360000
491,1582,1404777600
818,1003,1398643200
271,1720,1400457600
538,1181,1393113600
340,1320,1381536000
453,1193,1385251200
602,261,1377561600
664,337,1391299200
174,1253,1393804800
635,395,1397779200
466,888,1380844800
313,35,1389484800
122,1043,1376524800
555,1692,1389398400
504,622,1401840000
715,479,1404432000
388,1211,1400716800
419,472,1392076800
739,1329,1395619200
358,1131,1375660800
849,1388,1387411200
17,1203,1386547200
103,115,1384387200
731,1196,1398211200
700,1392,1379203200
872,1150,1380585600
541,1556,1392940800
564,1100,1387584000
871,1632,1380931200
142,1398,1402963200
639,1428,1396742400
569,148,1386028800
867,331,1381881600
772,231,1386806400
379,618,1402963200
138,701,1403481600
211,671,1386201600
317,627,1388361600
828,72,1393891200
790,1551,1379548800
774,234,1386374400
765,1324,1388620800
327,343,1386288000
606,469,1375315200
305,1618,1390953600
124,829,1376352000
685,1677,1386374400
662,608,1391644800
16,1705,1390348800
607,905,1375228800
873,1012,1380240000
345,595,1380067200
405,1245,1393804800
758,1046,1389571200
579,1464,1385078400
775,816,1386288000
554,1353,1389484800
844,273,1389571200
197,164,1389571200
